folder,model,
cycles_multiple_points,https://w3id.org/okn/i/mint/cycles_multiple_points,
cycles,https://w3id.org/okn/i/mint/cycles,
cycles_v2,https://w3id.org/okn/i/mint/cycles-v2-prod,
economic_to_vis,https://w3id.org/okn/i/mint/economic_to_vis,
pihm_cropland,https://w3id.org/okn/i/mint/pihm_cropland,
pihm_cropland_to_points,https://w3id.org/okn/i/mint/pihm_cropland_to_points,
pihm_cropland-v4,https://w3id.org/okn/i/mint/pihm_cropland-v4,
clim_comp_T,https://w3id.org/okn/i/mint/clim_comp_T,
clim_comp_P,https://w3id.org/okn/i/mint/clim_comp_P,
cycles_to_crop,https://w3id.org/okn/i/mint/cycles_to_crop,
cycles_to_crop_merge_multiple_points,https://w3id.org/okn/i/mint/cycles_to_crop_merge_multiple_points,
cycles_to_crop_fertilizer_multiple_points,https://w3id.org/okn/i/mint/cycles_to_crop_fertilizer_multiple_points,
weather_generator,https://w3id.org/okn/i/mint/weather_generator,
fldas_to_pihm,https://w3id.org/okn/i/mint/fldas_to_pihm,
fldas_to_pihm-v4,https://w3id.org/okn/i/mint/fldas_to_pihm-v4,
pihm,https://w3id.org/okn/i/mint/pihm,
pihm-v4,https://w3id.org/okn/i/mint/pihm-v4,
pihm-v2,https://w3id.org/okn/i/mint/pihm-v2,
pihm_to_netcdf,https://w3id.org/okn/i/mint/pihm_to_netcdf,
economic,https://w3id.org/okn/i/mint/economic,
economic-v5,https://w3id.org/okn/i/mint/economic-v5,
economic-v2,https://w3id.org/okn/i/mint/economic-v2,
economic-v6,,
economicNew-6,https://w3id.org/okn/i/mint/economic-v6,
economic-calib-v6,https://w3id.org/okn/i/mint/economic-v6.1,https://w3id.org/okn/i/mint/economic-v6.1-calib
pihm_flooding,,
pihm_flooding_netcdf,,
pihm_forcing_to_cycles_weather,https://w3id.org/okn/i/mint/pihm_forcing_to_cycles_weather,
pihm_to_cycles_soil,https://w3id.org/okn/i/mint/pihm_to_cycles_soil,
pihm_to_cycles_reinit,https://w3id.org/okn/i/mint/pihm_to_cycles_reinit,
HAND-1,https://w3id.org/okn/i/mint/hand_v1_simple,
